experiment,n_files,mean_latency_ms,median_latency_ms,p95_latency_ms,maximum_latency_ms,mean_wer,mean_latency_improvement_pct,median_latency_improvement_pct,wer_change
Baseline Whisper,41,3156.8088845569428,2871.648200089112,5758.869466682275,6232.081333330522,0.04752226093689508,0.0,0.0,0.0
No-context Whisper,41,6667.441502439025,3384.2372000001437,12697.80110000003,15077.635833333374,0.04752226093689508,-111.20827222249783,-17.849992902860638,0.0
Greedy Whisper,41,6973.999790243457,5919.675799901597,6497.519833346208,88103.87776671753,0.04752226093689508,-120.91929050124477,-106.14209636535215,0.0
Whisper + VAD,41,21922.70766016257,7182.181699994544,35601.51703333637,206057.07233333183,0.057820363917924895,-594.4578674815601,-150.10660079363723,0.010298102981029816
