file,mean,p50,p95,p99,best,worst
balance.wav,2771.620460000122,2757.712899998296,2816.5012599958573,2822.974331994774,2734.3808000150602,2824.592599994503
check_balance.wav,2732.1686599985696,2727.6899999997113,2764.045800000895,2770.5717200017534,2706.1561000009533,2772.203200001968
credit_card_due.wav,2854.9728799960576,2835.0615999952424,2912.425820005592,2914.326204007957,2805.780599999707,2914.8013000085484
loan_status.wav,3032.3788799985778,3052.02560001635,3135.7039599854033,3146.925271981163,2919.0314000006765,3149.730599980103
open_statement.wav,2931.7745000007562,2921.7228000052273,3000.262559996918,3008.0760319996625,2876.5872000076342,3010.0294000003487
recent_payments.wav,2849.176820006687,2835.880600003293,2964.922320022015,2972.7201440220233,2722.4184999940917,2974.6696000220254
savings_balance.wav,2942.156020004768,2919.281200011028,3021.5011399996,3027.107827999862,2884.660100011388,3028.5094999999274
send_money.wav,3598.6558599979617,3512.912200007122,3873.42983999406,3876.0546079894993,3257.2457999922335,3876.710799988359
transactions.wav,3218.8758999982383,3275.755400012713,3548.541620001197,3595.4079240048304,2799.1278000117745,3607.124500005739
transfer.wav,3005.997119989479,2927.628299978096,3204.730039986316,3233.089207985904,2874.8004999943078,3240.178999985801
